Content Manifest for Depot 1716742 

Manifest ID / date     : 2422293171576873112 / 07/18/2025 17:30:22 
Total number of files  : 114 
Total number of chunks : 123122 
Total bytes on disk    : 134660420613 
Total bytes compressed : 99153337264 


          Size Chunks File SHA                                 Flags Name
         61082      1 a5773170a101e6462225e82b022f4c112568e76d     0 Data\BlueprintShips-Starfield - Localization.ba2
     302872282    290 ae9150c0063a239eff56a06518b32d136e7318dd     0 Data\BlueprintShips-Starfield.esm
            16      1 7800ae303179dbe9a7e04b9da1f2b197de299862     0 Data\data.bin
     630468097    661 d67842254cb607bbbb2fea0081d697f2ff7c478b     0 Data\SFBGS003 - Main.ba2
     364574882    361 bee9bc6aad778492dfdd259cb3d75ef213235ba3     0 Data\SFBGS003 - Textures.ba2
     133635105    144 9567cda813d153fc98c12fa79ab134800f5b7351     0 Data\SFBGS003 - Voices_de.ba2
     136867865    137 ac24c403c133b4912b08efd758ac28adf2b8cb39     0 Data\SFBGS003 - Voices_en.ba2
     135427255    145 41c50992d5821a1d537101636951c18c157ab146     0 Data\SFBGS003 - Voices_es.ba2
     132804943    143 b0a616407b8039c1ac53126180a3756b82980c3e     0 Data\SFBGS003 - Voices_fr.ba2
     138260726    148 5dc9ea0ba131e18e4cad578055f63a3949e04e6c     0 Data\SFBGS003 - Voices_ja.ba2
      33277802     32 4c0e3234fb61f8099db25a6bab9dfd179baf7338     0 Data\SFBGS003.esm
      25700898     26 c85bdd7aa1db32a229a54e6c0c95fa609662d073     0 Data\SFBGS004 - Main.ba2
      46703558     46 27ffd343e2d3861f58b1ce4887bcb9a1a1aae5c9     0 Data\SFBGS004 - Textures.ba2
       9994950     10 63183990999948290df54f0fa1ed2169824afaae     0 Data\SFBGS004 - Voices_de.ba2
       9561014     10 d6ac0b8be66a02c5b9db51bd918ae9d7db580ea3     0 Data\SFBGS004 - Voices_en.ba2
      10257005     10 3de9c619b4bd90137d4fa42fc0b7242b0c6971ad     0 Data\SFBGS004 - Voices_es.ba2
       8529282      9 abe1a8245bbb11c89cf7229eb1f41c858495498b     0 Data\SFBGS004 - Voices_fr.ba2
       9369732      9 71c981509e0b52cc8ef8a5691ee3086d660fdc53     0 Data\SFBGS004 - Voices_ja.ba2
        249772      1 8134eeb12f68c41074be2b1acf334f7027bb4915     0 Data\SFBGS004.esm
     582808565    557 24d290f3dbfe5c08077ac1d520990352b500e482     0 Data\SFBGS006 - Main.ba2
        434484      1 1fc234e764e4dbb1c7bea4bdafc3f8a776111c56     0 Data\SFBGS006 - Textures.ba2
       7315458      7 98626627ae58f024b3451f87aafd88123e20c325     0 Data\SFBGS006.esm
     104971738    101 590e88edbd0182923364ab31000390118aee8ca5     0 Data\SFBGS007 - Main.ba2
         27252      1 8a76ef7a725d1110c3a24b14a548b26ce3567f3a     0 Data\SFBGS007.esm
      10403375     11 29a2d0d7082bd4cd084aaf4c7c110a5344ecaa17     0 Data\SFBGS008 - Main.ba2
      11302160     11 0c7fa42ae967c517c81caae2414b6af9e8b9d09f     0 Data\SFBGS008.esm
     217771250    231 3ab454661cb2785031d6ca062716b8759bfd3730     0 Data\Starfield - Animations.ba2
    3289283813   3137 b9e3e2bcc7a218b02e6d2b91def81973654e49ca     0 Data\Starfield - DensityMaps.ba2
    4294892678   4096 000ff438b76ace45f55567d788d9ec90a7e34ad6     0 Data\Starfield - FaceAnimation01.ba2
    4294868358   4096 1a10b8421bd393c0df11c7c7b4ee23e6b197b8c9     0 Data\Starfield - FaceAnimation02.ba2
    4294946755   4096 1dd21693947abfcf29992d7dda2cd624fd3ee530     0 Data\Starfield - FaceAnimation03.ba2
    4025862230   3855 49a3f3d684fd9cdd4222f589e345e5ac4f127e7b     0 Data\Starfield - FaceAnimation04.ba2
    1619371713   1626 bd3b94db6e600372d6c4705c02775d90554acf0e     0 Data\Starfield - FaceAnimationPatch.ba2
    1303527123   1244 959777c7ddf680b614a75e1667ee76b847ffd345     0 Data\Starfield - FaceMeshes.ba2
       7847660      8 ee503626a4d2944e8c6ee63787ef0be987ee8e2f     0 Data\Starfield - GeneratedTextures.ba2
     129098938    136 e2edd176332ddc94b542f933560d33f75b980928     0 Data\Starfield - Interface.ba2
     114239973    127 d1275f0b7dad4b8c16f5d75ceea2741348f7a555     0 Data\Starfield - Localization.ba2
      13248517     13 b99581954813d6781f64dc5af06eeebd9389b29b     0 Data\Starfield - LODMeshes.ba2
      13132427     13 563644a863ab7468b5f138f1227adbe2b5e9b52c     0 Data\Starfield - LODMeshesPatch.ba2
    4294682929   4250 a5c0c9c791156bec70cffcffc9065073fbca0f2c     0 Data\Starfield - LODTextures01.ba2
      52303402     52 d6c1a1b7d63827b2b720275d8f4f3d4d4dc1dafd     0 Data\Starfield - LODTextures02.ba2
      17556974     17 5967bcb7effd6991f5c2f8ff7c25abf586473350     0 Data\Starfield - Materials.ba2
    4294890544   4099 5c213295dfea827969c037b1e296cb937157e0e9     0 Data\Starfield - Meshes01.ba2
     839607830    801 3530a4e21aa03f2d2072e4c94302f7eceb769b2a     0 Data\Starfield - Meshes02.ba2
    3820475951   3996 030c09e6d78debb6b8baf99b927616dce8cc34b8     0 Data\Starfield - MeshesPatch.ba2
      38051406     38 b73398b04c2fc0b0f3bb119c03d09a37a86ee153     0 Data\Starfield - Misc.ba2
     134677412    129 59897c4e2034cc99bda216666a8a6b31c74c7a45     0 Data\Starfield - Particles.ba2
      22468821     22 e119790ae9bb10dacbebef14d1ccdd3273fb2326     0 Data\Starfield - PlanetData.ba2
      95450214     92 6e73e1d5553ec4fb16b53de88867cf4fb8514aef     0 Data\Starfield - Shaders.ba2
